Taxon	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_265	VatanenT_2016.metaphlan_bugs_list.stool:G80343	NielsenHB_2014.metaphlan_bugs_list.stool:MH0039	LiJ_2014.metaphlan_bugs_list.stool:O2.UC37-1	ChengpingW_2017.metaphlan_bugs_list.stool:AS96raw	LouisS_2016.metaphlan_bugs_list.stool:AS64_3	HMP_2012.metaphlan_bugs_list.stool:SRS014613	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC31_0	NielsenHB_2014.metaphlan_bugs_list.stool:MH0146	ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ55C_17	VogtmannE_2016.metaphlan_bugs_list.stool:MMRS59699117ST-27-0-0	BackhedF_2015.metaphlan_bugs_list.stool:SID622_M	LiSS_2016.metaphlan_bugs_list.stool:FAT_015-22-0-0	LiJ_2017.metaphlan_bugs_list.stool:H3M516909	QinJ_2012.metaphlan_bugs_list.stool:T2D-005	VincentC_2016.metaphlan_bugs_list.stool:MM094.2	LoombaR_2017.metaphlan_bugs_list.stool:SID1019_aas	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_346	BackhedF_2015.metaphlan_bugs_list.stool:SID18_12M	NielsenHB_2014.metaphlan_bugs_list.stool:V1_UC50_1	BackhedF_2015.metaphlan_bugs_list.stool:SID7_4M	JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142139	BackhedF_2015.metaphlan_bugs_list.stool:SID70_12M	KarlssonFH_2013.metaphlan_bugs_list.stool:S353	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC2_0	VatanenT_2016.metaphlan_bugs_list.stool:G78843	LiSS_2016.metaphlan_bugs_list.stool:FAT_012-22-42-0	VatanenT_2016.metaphlan_bugs_list.stool:G69160	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_596	FengQ_2015.metaphlan_bugs_list.stool:SID530315	XieH_2016.metaphlan_bugs_list.stool:YSZC12003_35550	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC29_2	MatsonV_2018.metaphlan_bugs_list.stool:SAM_14	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_704	VogtmannE_2016.metaphlan_bugs_list.stool:MMRS40913371ST-27-0-0	LiJ_2017.metaphlan_bugs_list.stool:H2M514108	JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142184	BackhedF_2015.metaphlan_bugs_list.stool:SID276_4M	LeChatelierE_2013.metaphlan_bugs_list.stool:MH0114	ChengpingW_2017.metaphlan_bugs_list.stool:AS109raw	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A029-11-90-0	PasolliE_2018.metaphlan_bugs_list.stool:V12_01_2FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A004-11-0-0	RampelliS_2015.metaphlan_bugs_list.stool:H24	BritoIL_2016.metaphlan_bugs_list.stool:W1.21.ST	PasolliE_2018.metaphlan_bugs_list.stool:A48_01_1FE	PehrssonE_2016.metaphlan_bugs_list.stool:SID08I_170	PasolliE_2018.metaphlan_bugs_list.stool:V31_01_2FE	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20244-GH	BritoIL_2016.metaphlan_bugs_list.stool:WL.32.ST	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20647-TZ	BritoIL_2016.metaphlan_bugs_list.stool:W1.22.ST	PasolliE_2018.metaphlan_bugs_list.stool:A91_01_1FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A058-11-90-0	PasolliE_2018.metaphlan_bugs_list.stool:A91_02_1FE	Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:SM11	BritoIL_2016.metaphlan_bugs_list.stool:W1.38.ST	SmitsSA_2017.metaphlan_bugs_list.stool:TZ_39371	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20473-TZ	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B037-11-0-0	BritoIL_2016.metaphlan_bugs_list.stool:W1.6.ST	BritoIL_2016.metaphlan_bugs_list.stool:W2.19.ST	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20275-GH	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B046-11-0-0	Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:SM25	SmitsSA_2017.metaphlan_bugs_list.stool:TZ_21618	RampelliS_2015.metaphlan_bugs_list.stool:H20	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20374-TZ	LiuW_2016.metaphlan_bugs_list.stool:SRR3992994	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B030-11-0-0	BritoIL_2016.metaphlan_bugs_list.stool:M1.57.ST	BritoIL_2016.metaphlan_bugs_list.stool:M1.65.ST	PasolliE_2018.metaphlan_bugs_list.stool:A89_02_1FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A076-11-0-0	PasolliE_2018.metaphlan_bugs_list.stool:A42_02_1FE	PehrssonE_2016.metaphlan_bugs_list.stool:SID240301	TettAJ_2019_c.metaphlan_bugs_list.stool:CM_D26_M0_18	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20049-GH	PehrssonE_2016.metaphlan_bugs_list.stool:SID09E_519	PehrssonE_2016.metaphlan_bugs_list.stool:SID08C_021	Lib4_3	Lib4_7	s_02	Lib3_6	Lib4_6	Lib4_1	Lib4_4	Lib4_8	Lib4_5	Lib4_2	Lib3_9	ERR1883623	ERR1883556	ERR1883448	ERR1883403	ERR1883529	ERR1883543	ERR1883460	ERR1883427	ERR1883665	ERR1883811	ERR1883583	ERR1883612	ERR1883540	ERR1883784	ERR1883598	ERR1883642	ERR1883482	ERR1883511	ERR1883479	ERR1883794	ERR1883647	ERR1883476	ERR1883551	ERR1883418	ERR1883689	ERR1883810	ERR1883473	ERR1883519	ERR1883661	ERR1883475	ERR1883710	ERR1883406	ERR1883584	ERR1883601	ERR1883726	ERR1883713	ERR1883408	ERR1883740	Lib4_10	Lib4_11	Lib4_12	CBA001	ECO004	DRL001	BRF001	TRO001	LEI010	MLP001	CMN001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	134738	11072980	3078653	1854313	3549459	1723214	4607340	3379660	7921630	1306393	3862107	527717	3217459	659877	684681	234454	21180	1176448	2077088	6974461	113359	674040	3478338	56859	281020	0	965596	73561	8064358	11231	2029538	1720254	5103031	1757955	4065941	257913	693661	2988701	7138812	533322	30370	38992	202211	166419	374408	10601	137082	70416	103982	423074	73831	217968	27536	362409	145490	66635	57354	0	8154682	251530	3323971	360922	4619570	205537	109028	0	42845	462556	213837	362756	84115	44690	21271	1222707	0	96494	823112	427879	283	0	2704359	8440519	2201366	5964	157759	65129	33984855	154948	226674	330554	3201764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10607	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	66251	1453134	117804	0	510505	697604	0	229033	4347946	223713	0	81032	1126279	0	0	0	3031	490373	0	3181813	0	0	6722	11458	0	0	72644	72894	5763654	7154	468032	925552	0	670377	2897076	7248	167912	820	347255	146312	0	0	0	0	44428	0	63054	0	0	219763	0	0	10293	3873	54280	0	162	0	201634	18409	1990670	258820	1935811	11774	0	0	0	10173	4239	602	358	5914	0	299380	0	0	18307	184379	0	0	1189504	6924342	0	0	747	0	0	154948	15492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis	66251	1453134	117804	0	510505	697604	0	229033	4347946	223713	0	81032	1126279	0	0	0	3031	490373	0	3181813	0	0	6722	11458	0	0	72644	72894	5763654	7154	468032	925552	0	670377	2897076	7248	167912	820	347255	146312	0	0	0	0	44428	0	63054	0	0	219763	0	0	10293	3873	54280	0	162	0	201634	18409	1990670	258820	1935811	11774	0	0	0	10173	4239	602	358	5914	0	299380	0	0	18307	184379	0	0	1189504	6924342	0	0	747	0	0	154948	15492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__GCF_000296465	66251	1453134	117804	0	510505	697604	0	229033	4347946	223713	0	81032	1126279	0	0	0	3031	490373	0	3181813	0	0	6722	11458	0	0	72644	72894	5763654	7154	468032	925552	0	670377	2897076	7248	167912	820	347255	146312	0	0	0	0	44428	0	63054	0	0	219763	0	0	10293	3873	54280	0	162	0	201634	18409	1990670	258820	1935811	11774	0	0	0	10173	4239	602	358	5914	0	299380	0	0	18307	184379	0	0	1189504	6924342	0	0	747	0	0	154948	15492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0	740694	585154	0	224559	15898	5289	358670	416351	163302	0	161815	314592	0	0	0	0	332499	0	773714	0	193562	0	0	109121	0	94062	0	847172	0	103674	227701	1102735	456503	0	0	80661	0	334181	131431	7406	0	6749	96662	0	0	0	11099	2994	0	0	4546	0	0	90945	35634	0	0	0	0	727895	0	795420	167177	49023	0	0	267137	113290	7561	0	2745	0	673391	0	2559	146681	107224	0	0	202537	6408	0	0	0	0	1925239	0	17500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus	0	740694	585154	0	224559	0	0	358670	416351	163302	0	161815	314592	0	0	0	0	332499	0	773714	0	193562	0	0	109121	0	94062	0	847172	0	103674	227701	1102735	446039	0	0	80661	0	334181	131431	0	0	0	96662	0	0	0	0	0	0	0	0	0	0	90945	0	0	0	0	0	719243	0	795420	167177	49023	0	0	267137	113290	0	0	0	0	673391	0	0	146681	107224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__GCF_000190535	0	740694	585154	0	224559	0	0	358670	416351	163302	0	161815	314592	0	0	0	0	332499	0	773714	0	193562	0	0	109121	0	94062	0	847172	0	103674	227701	1102735	446039	0	0	80661	0	334181	131431	0	0	0	96662	0	0	0	0	0	0	0	0	0	0	90945	0	0	0	0	0	719243	0	795420	167177	49023	0	0	267137	113290	0	0	0	0	673391	0	0	146681	107224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	66273	8768968	2365956	1741245	2814245	1009714	4601315	2749073	3139243	907639	3862107	266907	1761429	659877	684681	38065	18149	344483	2077088	2824133	113359	449607	3471622	45401	148685	0	798434	0	1385038	4077	1415513	567000	4000296	628025	1168865	177833	445088	2987877	6413745	255580	22963	38992	195462	69750	329981	10601	74027	59317	100988	203311	73831	200870	17244	357267	266	29653	57192	0	7953048	233121	600144	97233	1858001	26586	60005	0	42845	185249	96308	354596	83745	35563	21271	239920	0	93935	642367	133015	283	0	1312317	1463105	2201366	5964	157012	65129	32059615	0	193707	330554	3201764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10607	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis	3803	3181789	0	1612699	469830	32947	0	604789	909502	13606	1679620	57621	157881	536890	351908	4124	7553	41443	0	1244375	66465	1368	820238	26765	45970	0	81436	0	84863	102	125390	297703	1041327	103128	652	5583	2756	0	5090867	82364	656	3250	0	0	56422	0	8791	5276	30198	5324	0	25669	0	23134	266	12187	438	0	1052596	30275	113731	0	74032	3681	0	0	0	5965	23895	7553	1723	0	0	2404	0	38514	26087	14289	283	0	0	106060	0	0	10734	0	0	0	0	35510	47974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__Parabacteroides_distasonis_unclassified	3803	3181789	0	1612699	469830	32947	0	604789	909502	13606	1679620	57621	157881	536890	351908	4124	7553	41443	0	1244375	66465	1368	820238	26765	45970	0	81436	0	84863	102	125390	297703	1041327	103128	652	5583	2756	0	5090867	82364	656	3250	0	0	56422	0	8791	5276	30198	5324	0	25669	0	23134	266	12187	438	0	1052596	30275	113731	0	74032	3681	0	0	0	5965	23895	7553	1723	0	0	2404	0	38514	26087	14289	283	0	0	106060	0	0	10734	0	0	0	0	35510	47974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0	0	3990	0	1400921	0	0	133712	0	12516	0	159754	35457	9860	0	0	0	0	0	165046	0	22441	0	0	0	0	42937	0	100038	0	100851	0	1841722	0	1168206	0	0	0	0	1636	0	0	0	0	0	0	0	0	0	38899	0	0	0	0	0	0	0	0	0	0	87856	0	0	0	0	0	0	0	0	0	0	0	0	882	0	0	0	0	0	0	0	0	81654	0	0	0	0	0	0	0	342640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii|t__Parabacteroides_goldsteinii_unclassified	0	0	3990	0	1400921	0	0	133712	0	12516	0	159754	35457	9860	0	0	0	0	0	165046	0	22441	0	0	0	0	42937	0	100038	0	100851	0	1841722	0	1168206	0	0	0	0	1636	0	0	0	0	0	0	0	0	0	38899	0	0	0	0	0	0	0	0	0	0	87856	0	0	0	0	0	0	0	0	0	0	0	0	882	0	0	0	0	0	0	0	0	81654	0	0	0	0	0	0	0	342640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	62112	0	1263321	0	899853	1326	4601315	2010578	0	829901	1139	49531	982672	113128	332773	33942	10596	235219	0	1380112	0	0	1877	6426	39439	0	674061	0	1200136	3974	137309	269292	1117247	506461	0	172250	248204	332966	0	171579	4725	3121	32369	971	12291	706	65237	14496	0	0	0	7418	0	0	0	0	0	0	0	5273	6039	0	1783971	491	0	0	0	0	39737	347043	1208	3805	0	112272	0	0	616274	44846	0	0	1312317	1140069	249561	0	0	0	32059615	0	152446	0	792967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__Parabacteroides_merdae_unclassified	62112	0	1263321	0	899853	1326	4601315	2010578	0	829901	1139	49531	982672	113128	332773	33942	10596	46313	0	1380112	0	0	1877	6426	39439	0	674061	0	1200136	3974	137309	269292	1117247	506461	0	172250	248204	332966	0	171579	4725	3121	32369	971	12291	706	65237	14496	0	0	0	7418	0	0	0	0	0	0	0	5273	6039	0	1783971	491	0	0	0	0	39737	347043	1208	3805	0	112272	0	0	616274	44846	0	0	1312317	1140069	249561	0	0	0	32059615	0	152446	0	792967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	0	5587179	1098646	128546	0	0	0	0	2229740	51616	2181347	0	468000	0	0	0	0	2649	2077088	0	46893	425798	2649502	12210	63269	0	0	0	0	0	1051272	0	0	0	0	0	190289	2654915	1322879	0	16018	32444	163093	68779	256587	9896	0	39545	70789	159088	73831	167152	17244	334133	0	17459	56754	0	6900452	197572	365078	97233	0	22414	60005	0	42845	179280	32675	0	80815	31757	21271	124356	0	55421	0	70943	0	0	0	167375	851856	5964	129666	65129	0	0	41261	295044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10607	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	258226	561	0	0	9600625	159	0	0	0	201504	0	56498	1347728	8422	0	558033	61462	460507	0	33974	0	294	18878342	79010	0	63523	7726824	0	14828199	59412	4814131	338140	0	0	420	15779140	5371	157	0	21517132	17794554	20951098	5083214	19219484	54764983	878472	353960	32494058	20717555	23062393	8274103	14133672	3520125	35857181	1920587	767446	37732148	58415	5012740	20807082	2583456	16523181	2195182	5788868	5006297	38478	3217235	12571320	497718	10146976	41795813	45150504	3943775	20265022	3078649	629895	4955951	4024383	56656	5761	37519161	12291601	21030218	256462	42822936	54710509	27433181	33296381	218146	26158434	4012923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14879	0	587540	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	233969	0	0	0	273772	0	0	0	0	0	0	32471	1284443	0	0	0	882	459654	0	0	0	0	0	79010	0	0	121655	0	946478	6326	2355080	88788	0	0	0	716695	0	0	0	3428417	0	0	0	0	35512	0	7572	0	0	0	0	0	0	0	0	0	0	0	0	0	18977	0	0	0	0	0	0	0	0	203189	0	0	0	257775	0	0	98185	55296	0	0	4594433	6676087	3672161	0	808706	0	24879130	13686	212251	0	1117963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified	151274	0	0	0	71654	0	0	0	0	0	0	25001	865751	0	0	0	882	231602	0	0	0	0	0	35596	0	0	101771	0	442511	3958	729629	63564	0	0	0	663505	0	0	0	2962294	0	0	0	0	12658	0	4136	0	0	0	0	0	0	0	0	0	0	0	0	0	18977	0	0	0	0	0	0	0	0	189622	0	0	0	174211	0	0	80207	41855	0	0	4262328	6177065	2949959	0	742089	0	22609090	13686	201140	0	936746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	7437	0	0	0	202118	0	0	0	0	0	0	0	21570	0	0	0	0	228055	0	0	0	0	0	9958	0	0	1316	0	4790	0	1623534	0	0	0	0	386	0	0	0	8048	0	0	0	0	22855	0	3436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	21104	0	0	310	0	0	0	23226	132878	91585	0	2717	0	79502	0	0	0	1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila|t__GCF_000205165	7437	0	0	0	202118	0	0	0	0	0	0	0	21570	0	0	0	0	228055	0	0	0	0	0	9958	0	0	1316	0	4790	0	1623534	0	0	0	0	386	0	0	0	8048	0	0	0	0	22855	0	3436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	21104	0	0	310	0	0	0	23226	132878	91585	0	2717	0	79502	0	0	0	1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	24254	561	0	0	9326853	159	0	0	0	201504	0	24028	63285	8422	0	558033	60580	851	0	33974	0	294	18878342	0	0	63523	7605169	0	13881720	53086	2459050	249347	0	0	420	15062445	5371	157	0	18088714	17788766	20951098	5082243	19219484	54718255	878472	346388	32494058	20717555	23060591	8274103	14133672	3520125	35855699	1920587	767446	37732148	58415	5012740	20790173	2564479	16520611	2195182	5788868	5001963	38478	3217235	12571320	497718	9943783	41780758	45137091	3943775	20004073	3078649	629895	4857760	3969083	56656	5761	32904093	5615514	17341137	256462	42014230	54710509	2309561	33282667	0	26158434	2894996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14879	0	587540	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	24254	561	0	0	9326853	159	0	0	0	200870	0	0	63285	8422	0	0	60580	851	0	0	0	294	18878342	0	0	48193	7605169	0	13881720	53086	2459050	243484	0	0	420	15062445	5371	0	0	16200142	16624784	19880889	4775417	12838756	54480998	782243	196804	23963095	10980574	23042533	7278216	12044061	1814475	29860971	1915543	525654	34885390	57228	1361658	19822969	2535826	16307560	2178217	5775760	3292516	34927	2973070	6389414	151842	9839276	41508482	36500312	3095816	19929709	3069555	600580	3376512	3969083	0	5761	31759721	5587961	13503091	158860	36050744	53906968	1363455	32459868	0	24447310	1441173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14879	0	584340	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri|t__GCF_000157935	24254	561	0	0	9326853	159	0	0	0	200870	0	0	63285	8422	0	0	60580	851	0	0	0	294	18878342	0	0	48193	7605169	0	13881720	53086	2459050	243484	0	0	420	15062445	5371	0	0	16200142	16624784	19880889	4775417	12838756	54480998	782243	196804	23963095	10980574	23042533	7278216	12044061	1814475	29860971	1915543	525654	34885390	57228	1361658	19822969	2535826	16307560	2178217	5775760	3292516	34927	2973070	6389414	151842	9839276	41508482	36500312	3095816	19929709	3069555	600580	3376512	3969083	0	5761	31759721	5587961	13503091	158860	36050744	53906968	1363455	32459868	0	24447310	1441173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14879	0	584340	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	0	0	0	0	0	0	0	0	0	634	0	24028	0	0	0	0	0	0	0	0	0	0	0	0	0	15330	0	0	0	0	0	0	0	0	0	0	0	0	0	1888573	1163982	1070209	306826	6380722	234567	96229	149584	8530963	9734680	18057	995893	2086340	1705650	5990833	0	241792	2842459	1187	3651082	967205	18753	212619	0	13114	1709446	3551	244162	6181906	345876	104508	247925	8558022	847959	74364	9090	29314	1481254	0	56656	0	1144371	27580	3790322	97601	5963485	803541	946054	822798	0	1711154	1453823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea|t__GCF_000235885	0	0	0	0	0	0	0	0	0	634	0	24028	0	0	0	0	0	0	0	0	0	0	0	0	0	15330	0	0	0	0	0	0	0	0	0	0	0	0	0	1888573	1163982	1070209	306826	6380722	234567	96229	149584	8530963	9734680	18057	995893	2086340	1705650	5990833	0	241792	2842459	1187	3651082	967205	18753	212619	0	13114	1709446	3551	244162	6181906	345876	104508	247925	8558022	847959	74364	9090	29314	1481254	0	56656	0	1144371	27580	3790322	97601	5963485	803541	946054	822798	0	1711154	1453823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	473078	5640364	2097385	1944269	6340495	5378661	10252873	1825432	1549758	2100621	3616776	2002649	4261332	45684	1482991	8362	42906	2151740	5795615	1711060	0	2207602	1063146	345850	1660598	4089	5269954	0	14215364	104754	13144508	1206207	1023122	8138890	8767527	1291886	367602	1495	1092284	1637219	92633	20186	3293	172621	150015	611	87547	16605	107233	1064835	38649	129231	17649	160718	102317	143896	1840	0	1192239	141812	4225682	52503	1049564	174187	18129	0	0	313501	732780	324400	27762	116764	2258	880324	0	0	1221329	653105	145611	0	3208472	4438096	1113648	0	137003	0	32305843	155999	5633	1065	751883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
